,Penicillin G (PCG),Ampicillin (AMP),Oxacillin (OXA),Cloxacillin (CLX),Ticarcillin (TIC),Temocillin (TEM),Piperacillin (PIP),Cefalothin (CFT),Cefotaxime (CFX),Ceftazidime (CFZ),Cefepime (CFP),Cephaloridin (CFD),Aztreonam (AZT),Imipenem (IMI),Meropenem (MER),Nitrocefin (NIT),CLASS,id,ID
28,,6000.0,19000.0,,,,,,,,,210.0,,,,10000.0,D,D • OXA-1 20086146 Show profile:,OXA-1_WT
29,,4400.0,2500.0,,,,,490.0,,1.7,,,,,,,D,D • OXA-2 16870757 Show profile:,OXA-2_WT
30,5900.0,2400.0,350.0,88.0,30.0,,,2600.0,,0.0,,300.0,90.0,,,,D,D • OXA-20 9687410 Show profile:,OXA-20_WT
31,,,0.0,140.0,10.0,,0.0,330.0,0.0,0.0,,550.0,0.0,,,,D,D • OXA-22 10898703 Show profile:,OXA-22_WT
32,6500.0,6700.0,7700.0,,,,790.0,,1.3,0.49,,,1.0,0.0,0.0,19000.0,D,D • OXA-29 11709332 Show profile:,OXA-29_WT
33,,,,20.0,15.0,,20.0,50.0,0.0,0.0,,6.0,0.0,,,,D,D • OXA-32 11796380 Show profile:,OXA-32_WT
34,,20.0,3.0,,20.0,,50.0,50.0,0.0,10.0,0.0,5.0,0.0,15.0,0.0,,D,D • OXA-40 12499201 Show profile:,OXA-40_WT
35,380.0,300.0,940.0,,,0.0,,350.0,0.0,0.0,0.0,,0.0,,,1100.0,D,D • OXA-46 15855521 Show profile:,OXA-46_WT
36,,65.0,850.0,,820.0,6.5,180.0,150.0,60.0,1.0,6.0,,0.0,145.0,0.5,,D,D • OXA-48 23305656 Show profile:,OXA-48_WT
37,,2400.0,1400.0,,,6.6,,230.0,10.0,0.0,1.1,,,370.0,6.2,7700.0,D,D • OXA-48 19477418 Show profile:,OXA-48_WT
38,,125.0,500.0,,125.0,,85.0,15.0,10.0,0.0,5.0,20.0,0.0,250.0,1.0,,D,D • OXA-54 14693565 Show profile:,OXA-54_WT
39,13.6,7.54,30.2,17.9,,,99.0,1.73,,,,133.0,,,,3510.0,D,D • OXA-57 15793160 Show profile:,OXA-57_WT
40,10.7,54.4,63.7,6.69,,,258.0,8.59,,,,,,,,1580.0,D,D • OXA-57 D170N 15793160 Show profile:,OXA-57_D170N
41,16.0,8.98,15.7,5.77,,,455.0,11.7,,,,,,,,2240.0,D,D • OXA-57 K232N 15793160 Show profile:,OXA-57_K232N
42,,570.0,21000.0,,40.0,,,87.0,0.0,0.0,0.0,,,,,,D,D • OXA-85b 16870757 Show profile:,OXA-85b_WT
43,,,0.0,,2.5,,100.0,30.0,0.0,0.0,,,,0.05,,,D,D • OXA-114a 18362192 Show profile:,OXA-114a_WT
44,,80.0,,,3.0,,110.0,40.0,35.0,1000.0,6.0,,2.0,0.05,0.03,,D,D • OXA-163 21422200 Show profile:,OXA-163_WT
45,,1500.0,875.0,,650.0,2.5,350.0,25.0,55.0,0.0,15.0,,0.0,100.0,1.0,,D,D • OXA-181 23305656 Show profile:,OXA-181_WT
46,,2200.0,2400.0,,3600.0,0.5,700.0,50.0,30.0,0.0,10.0,,0.0,30.0,1.0,,D,D • OXA-232 23305656 Show profile:,OXA-232_WT
